year,month,dayofweek,is_weekend,season,city,region,latitude,longitude,elevation,tmin,tmax,tavg,prcp,wspd,humidity,pressure,dew_point,cloud_cover,temp_range,tomorrow_prcp,will_rain,yesterday_prcp,rain_3day,rain_7day
2000,1,5,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-7.9,4.0,-2.8,0.0,2.6,56,1027.4,-10.3,0,11.9,0.0,0,,,
2000,1,6,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-7.8,4.7,-2.4,0.0,2.6,56,1026.2,-10.1,0,12.5,0.0,0,0.0,,
2000,1,0,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-7.9,4.7,-2.4,0.0,2.6,56,1025.0,-10.2,0,12.6,0.0,0,0.0,,
2000,1,1,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.5,4.5,-2.8,0.0,2.6,55,1023.4,-10.8,1,13.0,0.0,0,0.0,0.0,
2000,1,2,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.8,3.5,-3.4,0.0,2.9,58,1025.7,-10.6,28,12.3,0.0,0,0.0,0.0,
2000,1,3,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-7.3,4.7,-2.0,0.0,2.6,56,1024.8,-9.6,36,12.0,0.0,0,0.0,0.0,
2000,1,4,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.6,4.9,-0.7,0.0,2.6,63,1022.4,-6.9,65,10.5,8.3,1,0.0,0.0,
2000,1,5,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-0.6,5.2,1.9,8.3,1.8,79,1019.9,-1.3,82,5.8,8.7,1,0.0,0.0,0.0
2000,1,6,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,0.5,5.1,2.4,8.7,2.2,80,1014.1,-0.8,75,4.6,0.8,1,8.3,8.3,8.3
2000,1,0,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-4.6,1.1,-1.9,0.8,1.9,80,1023.6,-4.9,67,5.7,8.0,1,8.7,17.0,17.0
